Order_Priority,Order_Quantity,Sales,Ship_Mode,Profit,Customer_Name,Region,Customer_Segment,Product_Category,Product_Sub-Category,Product_Container,Target
High,5,325.43,Express Air,-76.11,Doug Bickford,Atlantic,Corporate,Office Supplies,Storage & Organization,Small Box,0
Medium,11,152.67,Regular Air,12.76,Alan Barnes,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
High,5,217.85,Express Air,-25.31,Rob Dowd,West,Corporate,Office Supplies,Paper,Small Box,0
Critical,50,820.52,Regular Air,-191.22,Don Jones,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
High,39,272.07,Regular Air,-206.46,Doug Bickford,Atlantic,Corporate,Office Supplies,Paper,Small Box,0
Medium,42,2475.83,Regular Air,752.37,Doug Bickford,Northwest Territories,Corporate,Office Supplies,Appliances,Small Box,1
Not Specified,44,4263.9315,Regular Air,1411.03,Carlos Daly,Northwest Territories,Corporate,Technology,Telephones and Communication,Small Box,1
Low,36,1436.55,Regular Air,-4.01,Carlos Soltero,Prarie,Consumer,Furniture,Office Furnishings,Small Box,0
Critical,31,341.71,Regular Air,32.19,Paul Gonzalez,Atlantic,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Critical,37,2756.17,Regular Air,-1561.72,Cathy Armstrong,Atlantic,Consumer,Furniture,Tables,Large Box,0
Critical,44,5735.79,Regular Air,828.27,Jim Radford,Northwest Territories,Corporate,Furniture,Office Furnishings,Large Box,1
Not Specified,19,12616.2,Regular Air,2808.22,Brendan Dodson,Northwest Territories,Corporate,Technology,Copiers and Fax,Large Box,1
High,32,135.2,Regular Air,59.4,Darren Koutras,Atlantic,Consumer,Office Supplies,Labels,Small Box,1
Low,23,404.24,Express Air,-76.99,Guy Thornton,Ontario,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Low,44,181.61,Regular Air,-150.26,Ralph Kennedy,Atlantic,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,46,991.36,Regular Air,212.06,Monica Federle,West,Corporate,Office Supplies,Paper,Small Box,1
Not Specified,6,22.78,Regular Air,3.96,Liz Price,Atlantic,Consumer,Office Supplies,Labels,Small Box,1
Low,20,42.22,Regular Air,-7.73,Gene Hale,West,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,43,1751.68,Express Air,771.83,Chad Sievert,Atlantic,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Medium,14,222.91,Regular Air,20.21,Guy Armstrong,Atlantic,Corporate,Technology,Computer Peripherals,Small Box,1
Not Specified,15,605.1,Express Air,92.81,Hallie Redmond,Prarie,Home Office,Office Supplies,Appliances,Small Box,1
High,9,264.63,Express Air,-66.78,Mark Cousins,West,Home Office,Technology,Computer Peripherals,Small Box,0
Not Specified,33,332.95,Regular Air,-28.16,Heather Jas,West,Corporate,Furniture,Office Furnishings,Small Box,0
